07:00 ,Novorizontino - Chapecoense                    ,Home Win: 50% ,Draw: 30% ,Away Win: 20% ,FTR: 1:0Half time results: 1:0
07:00 ,Instituto Cordoba - Independiente              ,Home Win: 36% ,Draw: 33% ,Away Win: 31% ,FTR: 3:1Half time results: 3:1
08:10 ,Independiente Medellin - Millonarios           ,Home Win: 47% ,Draw: 31% ,Away Win: 22% ,FTR: 1:1Half time results: 1:0
16:30 ,South Melbourne - Dandenong City               ,Home Win: 60% ,Draw: 20% ,Away Win: 20% ,FTR: -
16:30 ,Melbourne Knights - Altona Magic               ,Home Win: 46% ,Draw: 25% ,Away Win: 29% ,FTR: -
17:00 ,Nepean Fc - Dulwich Hill Fc                    ,Home Win: 42% ,Draw: 30% ,Away Win: 28% ,FTR: -
17:15 ,Launceston Utd - Riverside Olympic             ,Home Win: 28% ,Draw: 24% ,Away Win: 48% ,FTR: -
17:30 ,Northcote City - Werribee City                 ,Home Win: 71% ,Draw: 18% ,Away Win: 11% ,FTR: -
18:45 ,Geylang International - Tanjong Pagar Utd FC   ,Home Win: 64% ,Draw: 21% ,Away Win: 15% ,FTR: -
19:15 ,DPMM FC - Hougang United FC                    ,Home Win: 49% ,Draw: 30% ,Away Win: 21% ,FTR: -
21:30 ,Denmark (u19) - France (u19)                   ,Home Win: 23% ,Draw: 21% ,Away Win: 56% ,FTR: -
22:45 ,Cherno More Varna - CSKA 1948                  ,Home Win: 60% ,Draw: 29% ,Away Win: 11% ,FTR: -
23:00 ,AGF - FC Midtjylland                           ,Home Win: 36% ,Draw: 25% ,Away Win: 39% ,FTR: -
23:00 ,Opava - Vlasim                                 ,Home Win: 56% ,Draw: 32% ,Away Win: 12% ,FTR: -
23:00 ,Jagiellonia - Puszcza Niepolomice              ,Home Win: 57% ,Draw: 30% ,Away Win: 13% ,FTR: -
23:00 ,Polonia Warszawa - Znicz Pruszkow              ,Home Win: 38% ,Draw: 36% ,Away Win: 26% ,FTR: -
23:00 ,Tammeka Tartu - Flora Tallinn                  ,Home Win: 27% ,Draw: 31% ,Away Win: 42% ,FTR: -
23:00 ,OLS - FCV                                      ,Home Win: 74% ,Draw: 17% ,Away Win: 9%  ,FTR: -
23:00 ,Al Wadi - Red Arrows                           ,Home Win: 24% ,Draw: 28% ,Away Win: 48% ,FTR: -
23:30 ,Ansbach - FC Nurnberg II                       ,Home Win: 36% ,Draw: 17% ,Away Win: 47% ,FTR: -
00:00 ,TSV Schwaben Augsburg - Viktoria Aschaffenburg ,Home Win: 49% ,Draw: 31% ,Away Win: 20% ,FTR: -
